Site,Panel,ID,MotifID,GeneralTechnique,Specific_technique,Colour primary,Category,General Type,Specific Type,Notes or comments,Added to index imagedouble checked,Relevant images,image saved,Contrast state,Superimposition/Reiterative practice,Editing Notes
CH01,1,1,CH01-1-1,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Line Series,"15 parallel lines, vertical",y,IMG_4706,y,3,No,
CH01,1,2,CH01-1-2,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Horizontal pit series,2 pits,y,IMG_4726,y,3,No,
CH01,1,3,CH01-1-3,Petroglyph,Indeterminate,Brown,Non-Figurative,Geometric,Line Series,paint applied,y,,y,2,No,
CH01,1,4,CH01-1-4,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Line Series,"22 parallel lines, vertical. Mostly regular length but 3-5 are much longer than others",y,,y,3,No,
CH01,1,5,CH01-1-5,Pictograph,Infilled or solid,Red,Non-diagnostic,Non-diagnostic,Non-diagnostic,"Smudge of pigment, shape unknown",y,,y,,No,
CH01,1,6,CH01-1-6,Petroglyph,Indeterminate,Red,Non-Figurative,Geometric,Line Series,"Some pigment applied over and rubbed into petroglyph. Sits above CH01-1-8. 15 parallel lines, vertical. Some portions of motif missing",y,,y,2,Yes,
CH01,1,7,CH01-1-7,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Line Series,"Below CH01-1-8. Approx 22 parallel lines, vertical.",y,,y,3,Yes,
CH01,1,8,CH01-1-8,Pictograph,Infilled or solid,Red,Figurative,Animal,Lizard,"Head, tail, 4 distinct appendages visible.",y,IMG_4708_yrd.tif,y,,Yes,
CH01,1,9,CH01-1-9,Petroglyph,Indeterminate,Red,Non-Figurative,Geometric,Line Series,"Sits under CH01-1-8. Quite faint engraved parallel line series, those towards the right have pigment applied (only visible under dstretch)",y,,y,2,Yes,
CH01,1,10,CH01-1-10,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Crescent,"Open crescent, engraved but very faint. C shaped",y,,y,2,No,
CH01,1,11,CH01-1-11,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Line Series,"Long line seriesAlmost obliterated, only noticed after DStretch filter applied",y,IMG_4729_ybk,y,2,Yes,
CH01,1,12,CH01-1-12,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Crescent,2-3 inverted crescents nested together,y,IMG_4739_ybk,y,3,No,
CH01,1,13,CH01-1-13,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Non-diagnostic,circle or arch around exterior of heavily modified interior. One vertical line on interior. combination of weathering and anthropogenic modification.,y,IMG_4739_ybk,y,3,No,
CH01,2,14,CH01-2-14,Pictograph,Outline,Red,Track,Tracks,Bird track," inverted trident or extended bird, superimposed over older red pigment art. Latter pigment extends across a larger area",y,Panel2_crgb; Panel2_YBK,y,,Yes,
CH01,2,15,CH01-2-15,Pictograph,Outline,Red,Non-Figurative,Geometric,Crescent,"Crescent, open end facing downwards",y,IMG_4765_lab; also as per previous motif CH01-2-14,y,,Yes,
CH01,2,16,CH01-2-16,Pictograph,Outline,Red,Track,Tracks,Bird track,Single but very faded downward  pointing bird track. May be part of series with CH01-2-14 and ...-17,y,Panel2_crgb; Panel2_YBK,n,,Yes,
CH01,2,17,CH01-2-17,Pictograph,Outline,Red,Track,Tracks,Bird track,"As per CH01-2-16, above. More distinct.",y,Panel2_crgb; Panel2_YBK,n,,Yes,
CH01,2,18,CH01-2-18,Pictograph,Outline,Red,Non-Figurative,Geometric,Single circle,"Large circle 30cm diam with minimum of two protuding lines perpendicular to circle outline at bottom. Some pigment applied inside, but likely to be superimposition. Associated with a faint single line immediately below circle.",y,Panel2_LRE,y,,Yes,
CH01,2,19,CH01-2-19,Pictograph,Outline,Red,Figurative,Non-diagnostic,Non-diagnostic,May be a lizard or human form from model but not clear enough to classify,y,IMG_4774_YRD,y,,Yes,
CH01,3,20,CH01-3-20,Petroglyph,Engraved,Red,Non-Figurative,Geometric,Tool sharpening,May be evidence of spear grinding due to shape of lines. Red pigment bordering group of lines and filled in,y,IMG4703_YRD,,1,Yes,
CH01,3,21,CH01-3-21,Pictograph,Outline,Red,Non-Figurative,Geometric,Line along natural geometry,Solid red line along natural ridge on shelter surface. Near base of panel,y,IMG4703_YRD,y,,No,
CH01,3,22,CH01-3-22,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,Two brown vertical lines. May be associated with CH01-2-20,y,,y,,No,
CH01,3,23,CH01-3-23,Pictograph,Outline,Brown,Non-Figurative,Geometric,Line along natural geometry,Solid brown line following natural depression along bottom of panel 3,y,IMG4686_LDS_AC,y,,No,
CH01,3,24,CH01-3-24,Pictograph,Infilled or solid,Red,Non-Figurative,Geometric,Line Series,Three vertical painted lines. The right hand line is slightly apart from the other two,y,"IMG_4704_YRE, IMG_4704_YRD",y,,No,
CH01,3,25,CH01-3-25,Petroglyph,Pecked,Red,Non-Figurative,Geometric,Horizontal pit series,Two small pits with red pigment around margins,y,"IMG_4704_YRE, IMG_4704_YRD",y,3,Yes,
CH01,3,26,CH01-3-26,Petroglyph,Pecked,Not applicable,Track,Tracks,Bird track,Single line with upturned V at base (pointing up).,y,"IMG_4704_YRE, IMG_4704_YRD",y,2,No,
CH01,3,27,CH01-3-27,Pictograph,Outline,Red,Non-diagnostic,Non-diagnostic,Non-diagnostic,Generally amorphous area of badly eroded red pigment.,y,"IMG_4704_YRD, IMG_4704_YRE",y,,Yes,
CH01,3,28,CH01-3-28,Pictograph,Outline,Red,Non-Figurative,Geometric,Line horizontal,Single line along base of CH01-3-27,y,"IMG_4704_YRE, IMG_4704_YRD",y,,Yes,
CH01,3,29,CH01-3-29,Petroglyph,Pecked,Not applicable,Track,Tracks,Bird track,"Faint bird track, 3 short lines radiating from central point. One additional line radiating from below these",y,"IMG_4704_YRE, IMG_4704_YRD",y,2,Yes,
CH01,3,30,CH01-3-30,Petroglyph,Pecked,Not applicable,Track,Tracks,Bird track,Possible bird track. Elongated 'toes'. Pecked dot at base.,y,"IMG_4704_YRE, IMG_4704_YRD",y,3,Yes,
CH01,3,31,CH01-3-31,Pictograph,Outline,Red,Non-Figurative,Geometric,Crescent,Crescent with ends pointing downwards. Superimposed over 029,y,"IMG_4704_YRE, IMG_4704_YRD",y,,Yes,
CH01,3,32,CH01-3-32,Petroglyph,Pecked,Not applicable,Non-Figurative,Geometric,Line Series,"Up to 5 short vertical lines, parallel, but very indistinct",y,"IMG_4704_YRE, IMG_4704_YRD",y,2,No,
CH01,3,33,CH01-3-33,Petroglyph,Pecked,Not applicable,Non-Figurative,Geometric,Complex lines,Long horizontal line with some bisecting vertical lines. Some pigment has been added on border and filling in on left hand side,y,"IMG_4704_YRE, IMG_4704_YRD",y,2,Yes,
CH01,3,34,CH01-3-34,Pictograph,Infilled or solid,Red,Non-Figurative,Geometric,Line Series,three red vertical lines with the left slightly apart from the other two.,y,IMG_4705_YRE,y,,No,
CH01,3,35,CH01-3-35,Petroglyph,Outline,Red,Non-Figurative,Geometric,Complex lines,"Possibly one large line series affected differentially by weathering, so classified as complex lines. Combination of vertical and horizontal lines. Underlying pecked lines that have been painted in at a later date. Bottom layer of pecked line series has no pigment evident.",y,"IMG_4705_YRE, YBK, YYE,LRE, LAB, LDS",y,2,Yes,
CH01,3,36,CH01-3-36,Petroglyph,Pecked,Not applicable,Non-Figurative,Geometric,Pit,Single pit associated with pigment (CH01-3-38). Seems to be superimposed over the pigment,y,"IMG_4705_YRE, YBK, YYE,LRE, LAB, LDS",y,3,Yes,
CH01,3,37,CH01-3-37,Pictograph,Outline,Brown,Non-Figurative,Geometric,Line along natural geometry,Horizontal line seeming to conform to a natural line in the rock surface. Occurs beneath 036,y,"IMG_4705_YRE, YBK, YYE,LRE, LAB, LDS",y,,No,
CH01,3,38,CH01-3-38,Pictograph,Indeterminate,Red,Non-diagnostic,Non-diagnostic,Non-diagnostic,"Red pigment, badly eroded. Partially obliterated by creation of CH01-3-36",y,"IMG_4705_YRE, YBK, YYE,LRE, LAB, LDS",y,,Yes,
CH02,1,39,CH02-1-39,Pictograph,Outline,Brown,Figurative,Anthropomorph,Anthropomorph,Brown pigment stick figure with rounded midsection detailed with vertical lines.,y,Taken from photoscan model,y,,No,
CH02,1,40,CH02-1-40,Pictograph,Outline,Red,Figurative,Animal,Marine Turtle,"Large outline in brown-red, shaped like turtle with head, tail, 4 legs. No internal details. Lower left of panel, superimposed with other mofits",y,Taken from photoscan model,y,,Yes,
CH02,1,41,CH02-1-41,Pictograph,Outline,Brown,Non-Figurative,Geometric,Complex lines,"Outline in brown, elongated roughly rectangular with series of four horizontal lines cutting across. Possibly artefact - such as dilly bag - or a representation of an animal not familiar to us. Small star or track at base, superimposed or part of same motif but same colour, technique and tight assocaition -- so classified as part of the same motif",y,"IMG_4610_ybk, IMG4632 YRE",y,,Yes,
CH02,1,42,CH02-1-42,Pictograph,Outline,Brown,Track,Tracks,Bird track,"Bird track facing downwards, faint and behind CH02-1-40 and CH02-1-41.",y,,y,,Yes,
CH02,1,43,CH02-1-43,Pictograph,Outline,Brown,Figurative,Animal,Marine Turtle,"Brown turtle outline with large tail, may be Hawksbill turtle. Co-located on panel adjacent to and touching motif 040. Smaller than 040 though, possibly offspring?",y,IMG_4262,y,,No,
CH02,1,44,CH02-1-44,Pictograph,Outline,Brown,Figurative,Non-diagnostic,Non-diagnostic,"Incomplete motif. Similar form to hindquarters of turtles represented in adjacent images (040, 043)",y,,y,,No,
CH02,1,45,CH02-1-45,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex lines,"Single, thick (1-2cm) line with a series of perpendicular lines cutting across it (12 in total).  Lies beneath 045.",y,4633_LDS,y,,Yes,
CH02,1,46,CH02-1-46,Pictograph,Outline,Red,Figurative,Non-diagnostic,Non-diagnostic,"rounded shape with lines coming off of it, connecting with two vertical lines. May represent a jellyfish, or morwood's linear figurative",y,4633_YBK,y,,Yes,
CH02,1,47,CH02-1-47,Pictograph,Outline,Brown,Figurative,Animal,Marine Turtle,Turtle with rounded shell and two lines across the shell running from between the head and right forelimb down to left foreleg. One eye shown (left eye may be obliterated by wear). Partially covered by CH02-1-48,y,,y,,Yes,
CH02,1,48,CH02-1-48,Pictograph,Infilled or solid,Brown,Figurative,Animal,Freshwater tortoise,Tortoise with pronounced long neck and infilled shell and body. Long tail also present. Superimposed over CH02-1-47 and CH02-1-49.,y,,y,,Yes,
CH02,1,49,CH02-1-49,Pictograph,Infilled or solid,Brown,Figurative,Animal,Freshwater tortoise,"Tortoise with pronounced long neck and infilled shell and body. Long tail also present. Claws shown on the forelimbs. Shell infill has a circular pattern that may be the result of the rock surface's natural texture. CH02-1-48 superimposed over part of the left forelimb along with CH02-1-50, which has a superimposed line passing through the neck.",y,,y,,Yes,
CH02,1,50,CH02-1-50,Pictograph,Outline,Brown,Figurative,Animal,Marine Turtle,Outline brown turtle with round shell and tail prominently shown. Eyes also shown as two dots. Series of perpendicular lines extending from outline of head. Some retouching done on hind legs. Superimposed over CH02-1-49,y,,y,,Yes,
CH02,1,51,CH02-1-51,Pictograph,Outline,Brown,Figurative,Animal,Marine Turtle,"outline of brown turtle, elongated with two eyes shown. may have had some infill in the shell, but this is badly faded.",y,,y,,No,
CH02,1,52,CH02-1-52,Pictograph,Infilled or solid,Brown,Figurative,Zoomorph,Zoomorph,"Zoomorph with 4 hands (or claws) and wide rounded abdomen, infillied. Hands/claws have 4-5 lines, all drawn quite straight and at regular angles. Head lacks any detail and is represented as a solid circle but with remnants of short lines radiating from head (hair). Creature has a short stumpy tail about half the lenght of lower legs.  Superimposed over CH-02-56.",y,IMG_4635_yye,y,,Yes,
CH02,1,53,CH02-1-53,Pictograph,Infilled or solid,Brown,Figurative,Animal,Lizard,"Overlapping with CH02-1-52, sequence TBD. Long lizard like, infilled, tapered tail and rounded head. Four legs no detail on feet. Seems to have been retouched in front an tail sections. Head touches tail of 052. May have same phases as CH02-1-52 and CH02-1-56",y,IMG_4635_yye,y,,Yes,
CH02,1,54,CH02-1-54,Pictograph,Infilled or solid,Brown,Figurative,Animal,Lizard,"Similar in form to motf 53, head touches a protruding nodule on shelter wall.",y,,y,,No,
CH02,1,55,CH02-1-55,Pictograph,Outline,Brown,Non-diagnostic,Non-diagnostic,Non-diagnostic,Quite faded motif that hasn't photographed well. Appears a bit like a crescent but too indistinct to be certain,y,IMG_4318,y,,Yes,
CH02,1,56,CH02-1-56,Pictograph,Infilled or solid,Brown,Figurative,Human,Man,Human form almost completely covered by CH02-1-52. Comes out beautifully with DStretch LYE filter,y,IMG_4635_lwe,y,,Yes,
CH02,2,57,CH02-2-57,Pictograph,Infilled or solid,Brown,Figurative,Anthropomorph,Anthropomorph,Human form with large digits on hands and feet. Some remnants indicating radiating lines from the head as well. Male genitalia shown,y,IMG_4897_LRE,,,Yes,
CH02,2,58,CH02-2-58,Pictograph,Infilled or solid,Brown,Figurative,Animal,Lizard,"Lizard figure superimposed over (or has  superimposed onto) CH02-2-57. Similar relationship as in other lizard motifs at CH01-panel 1. Shows legs and arms, head indistinct but appears to overlap with adjacent anthropomorph",y,"IMG_4897_LRE, 4897_LABI,",,,Yes,
CH02,2,59,CH02-2-59,Petroglyph,Pecked,Not applicable,Figurative,Non-diagnostic,Non-diagnostic,"Weathered engraving with possible head and abdomen, but not entirely diagnostic. Some similarity with dugong head but not 100% confident of this.",y,,,3,Yes,
CH02,2,60,CH02-2-60,Petroglyph,Engraved,Yellow,Non-Figurative,Geometric,Stacked line series,"Complex stacked line series, vertically oriented, associated with natural ridge line running horizontally acros panel. Up to three rows of lines near centre of assemblage, with a number of engraved lines with pigment applied. Two colours used; mostly yellow but also a very faded red. Bird track in this series has been classified elsewhere",y,"4630, 4892",,3,Yes,
CH02,2,61,CH02-2-61,Petroglyph,Engraved,Not applicable,Track,Tracks,Bird track,"Amidst line series CH-02-2-60, facing upwards",y,IMG_4630,,4,Yes,
CH02,2,62,CH02-2-62,Pictograph,Outline,Yellow,Non-Figurative,Geometric,Line along natural geometry,Colour matches to some portions of colouring in CH02-2-60. Travels along edge of rock below 57-61 and then downwards and back across to the right.,y,IMG_4630,,,No,
CH02,2,63,CH02-2-63,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Single circle,Infilled single circle. Associated with second motif almost identical (67). Some indistinct pigment in surrounding area.,y,4892_LRE,,,No,
CH02,2,64,CH02-2-64,Pictograph,Infilled or solid,Brown,Figurative,Human,Man," Badly eroded motif, likely male. Single stick figure, only barely visible under enhancment",y,IMG_4892_LAB,,,Yes,
CH02,2,65,CH02-2-65,Pictograph,Infilled or solid,Brown,Figurative,Human,Human,"As with 064, but smaller and stands beside, may be a child",y,IMG_4892_LAB,,,Yes,
CH02,2,66,CH02-2-66,Pictograph,Outline,Brown,Figurative,Human,Human,"Human, badly weathered. Arms and legs not depicted as straight lines, but slightly bowed.",y,,,,No,
CH02,2,67,CH02-2-67,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Single circle,Infilled single circle. Associated with second motif almost identical (63). Some indistinct pigment in surrounding area.,y,4892_LRE,,,Yes,
CH02,2,68,CH02-2-68,Pictograph,Outline,Brown,Figurative,Human,Human,"Unusual proportions, badly eroded. Next to CH02-2-66 and sitting under a section of CH02-2-69. Legs appear splayed apart almost at right angles, so may also be unusual geometric motif -- but given associations interpreted as human.",y,4892_LRE,,,No,
CH02,2,69,CH02-2-69,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line undulating,"Line, 5cm wide that meanders along panel.",y,4892,,,Yes,
CH02,2,70,CH02-2-70,Pictograph,Infilled or solid,Brown,Figurative,Human,Human,"Large and most prominant motif on this panel. Body completely infilled, arms and legs lack other features (e.g. toes). Indeterminate as to whether M or F. Distinctive radiating lines emmanating from head, hair or head dress? Associatd with two other human motifs which are both touching this one",y,,,,Yes,
CH02,2,71,CH02-2-71,Pictograph,Infilled or solid,Brown,Figurative,Human,Human,"Quite faded human figure, no defining features. Touches large human figure (CH-2-2-70) (foot to arm).",y,4892,,,Yes,
CH02,2,72,CH02-2-72,Pictograph,Infilled or solid,Brown,Figurative,Animal,Dog,Dog with pointed ears and tail curling upwards. Proportion and style seems to indicate it may be associated with CH02-2-70,y,4892_LRE,,,Yes,
CH02,2,73,CH02-2-73,Pictograph,Outline,Brown,Non-Figurative,Geometric,Single circle,"Circle outline, with indistinct pigment at top, likely superimposition-- not clear",y,4892,,,Yes,
CH02,2,74,CH02-2-74,Pictograph,Infilled or solid,Brown,Figurative,Human,Human,"Quite faded human figure, no defining features. Sits beneath right arm of motif 70 (large human).",y,4892,,,Yes,
CH02,2,75,CH02-2-75,Pictograph,Infilled or solid,Brown,Figurative,Human,Human,"Quite faded human figure, no defining features. May be part of a series with 66 and 68",y,4892,,,Yes,
CH02,2,76,CH02-2-76,Petroglyph,Engraved,Brown,Track,Tracks,Bird track,Badly eroded. filled with red pigment and applied after the dog CH02-2-72,y,4892_LABI,,3,Yes,
CH02,2,77,CH02-2-77,Petroglyph,Engraved,Brown,Track,Tracks,Bird track,"badly eroded. Above CH-02-2-76, may be a series",y,4892_LABI,,4,Yes,
CH02,2,78,CH02-2-78,Pictograph,Indeterminate,Brown,Non-diagnostic,Non-diagnostic,Non-diagnostic,Badly weathered pigment area below 070. No clear motifs identifiable,y,4892_LRE,,,No,
CH02,2,79,CH02-2-79,Petroglyph,Engraved,Not applicable,Non-Figurative,Geometric,Line Series,"Badly weathered line series, at least 8 distinct lines. Located at bottom of panel near shelter floor, so high traffic area.",y,4628_LABI,,2,Yes,
CH02,2,80,CH02-2-80,Petroglyph,Engraved,Brown,Non-Figurative,Geometric,Radiating lines,"Long, linear motif. Two parts. First, a long line, with red infill and distinct white border as a result of engraving. Engraved the shape and then adding red pigment to the centre. Second part is a series of radiating lines from one end of the line (9), and these have a directional quality in that the lines all bend back towards the 'tail'.",y,,,4,Yes,
CH02,2,81,CH02-2-81,Petroglyph,Pecked,Not applicable,Non-Figurative,Geometric,Horizontal pit series,5-6 distinct pecked pits in series. Possibly a second but very indistinct pit series repeated beneath this.,y,4892_LABI,,5,Yes,
CH02,2,82,CH02-2-82,Pictograph,Indeterminate,Brown,Figurative,Non-diagnostic,Non-diagnostic,"Badly weathered motif remnant, very faded but good indications of abdomen, legs, arms and head.",y,,,,Yes,
CH02,2,83,CH02-2-83,Pictograph,Indeterminate,Brown,Figurative,Non-diagnostic,Non-diagnostic,"Badly weathered motif remnant, very faded but good indications of abdomen, legs, arms and head.",y,,,,No,
CH02,2,84,CH02-2-84,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Crescent,One outlined or two nested crescents,Y found.,4892_LABI,,3,No,
CH02,2,85,CH02-2-85,Petroglyph,Indeterminate,Not applicable,Track,Tracks,Bird track,"Single track, facing upwards. Above and to right of dog",y,,,3,Yes,
CH02,2,86,CH02-2-86,Petroglyph,Engraved,Not applicable,Non-Figurative,Geometric,Complex lines,"Faded engraved line, only shows in Dstretch. Series of vertical lines cutting across this, hence complex line designation",y,4628_LRE,,3,Yes,
CH02,2,87,CH02-2-87,Pictograph,Infilled or solid,Brown,Figurative,Human,Human,"Tall human, solid infilled brown. Very faded, only really visible in DStretch but discernible human shape. Sits behind CH02-2-85 and CH02-2-80.",y,4628_LRE,,,Yes,
CH02,2,88,CH02-2-88,Pictograph,Infilled or solid,Brown,Figurative,Human,Human,"Small faded human, clear arms and legs, head etc. Other features indistinct. Adjacent to CH02-2-87",y,4628_LRE,,,No,
CH02,2,89,CH02-2-89,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Complex lines,line series with irregular line placement and intersecting lines.,y,,,2,Yes,
CH02,2,90,CH02-2-90,Petroglyph,Engraved,Not applicable,Track,Tracks,Bird track,"Facing upwards, one of two beneath/adjacent to 'shooting star'",y,,,3,Yes,
CH02,2,91,CH02-2-91,Petroglyph,Engraved,Not applicable,Track,Tracks,Bird track,"Facing upwards, two of two beneath/adjacent to 'shooting star'",y,,,3,Yes,
CH02,2,92,CH02-2-92,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Crescent,Complex crescent with vertical line infill,y,,,3,Yes,
CH02,2,93,CH02-2-93,Pictograph,Outline,Brown,Track,Tracks,Bird track,"Pigment track, no associated engravings. Facing upwards",y,4628_LDS,,,Yes,
CH02,2,94,CH02-2-94,Pictograph,Outline,Brown,Track,Tracks,Bird track,"Pigment track, no associated engravings. Facing upwards",y,4628_LDS,,,Yes,
CH02,2,95,CH02-2-95,Pictograph,Outline,Brown,Non-Figurative,Geometric,Crescent,"Thin crescent, other indistinct lines adjacent",y,,,,Yes,
CH02,2,96,CH02-2-96,Petroglyph,Engraved,Not applicable,Track,Tracks,Bird track,"Engraved track, one of four. Very faded. Form parallel series",y,"4628_LABI, CH02_Ortho_LABI",,2,Yes,
CH02,2,97,CH02-2-97,Petroglyph,Engraved,Not applicable,Track,Tracks,Bird track,"Engraved track, one of four. Very faded. Form parallel seri",y,"4628_LABI, CH02_Ortho_LABI",,2,Yes,
CH02,2,98,CH02-2-98,Petroglyph,Engraved,Not applicable,Non-Figurative,Geometric,Complex lines,"A pair of elongated spheres, with angular edges at bottom. These overlie 'shooting star' motif,",y,4628_LABI,,4,Yes,
CH02,2,99,CH02-2-99,Pictograph,Outline,Brown,Non-Figurative,Geometric,Complex lines,"Very fine horizontal line with three vertical lines coming down from ends and centre, forming a kind of trident shape. Too broad and square to be tracks. Similar to CH02-2-100",y,4628_LABI,,,Yes,
CH02,2,100,CH02-2-100,Pictograph,Outline,Brown,Non-Figurative,Geometric,Complex lines,"Very fine horizontal line with three vertical lines coming down from ends and centre, forming a kind of trident shape. Too broad and square to be tracks. Similar to CH02-2-99",y,4628_LABI,,,Yes,
CH02,2,101,CH02-2-101,Petroglyph,Engraved,Not applicable,Track,Tracks,Bird track,"Engraved track, three of  four. Very faded. Form parallel series",y,"4628_LABI, CH02_Ortho_LABI",,2,Yes,
CH02,2,102,CH02-2-102,Petroglyph,Engraved,Not applicable,Track,Tracks,Bird track,"Engraved track, four of four. Very faded. Form parallel series",y,"4628_LABI, CH02_Ortho_LABI",,2,Yes,
CH02,3,103,CH02-3-103,Pictograph,Outline,Brown,Figurative,Animal,Marine Turtle,Outline of turtle with tail. No internal details. Under CH02-3-104,,,,,Yes,
CH02,3,104,CH02-3-104,Pictograph,Infilled or solid,Brown,Figurative,Human,Man,Single infilled human with genitalia,,CH02_P3_LRE,,,Yes,
CH02,3,105,CH02-3-105,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line,Line at 45* angle cuts across adjacent motif and partially obscured.,,CH02_p3_ortho_LRD,,,Yes,
CH02,3,106,CH02-3-106,Pictograph,Outline,Brown,Non-Figurative,Geometric,Non-diagnostic,"Circular shape with 11 protruding crescent shapes, one of which is larger and notched. Appears at a glance like a flower design. Needs lots of research.",,CH02_p3_ortho_LRD,,,Yes,
CH02,3,107,CH02-3-107,Pictograph,Infilled or solid,Brown,Figurative,Human,Man,Simple human figure with genitalia shown,,,,,No,
CH02,3,108,CH02-3-108,Pictograph,Infilled or solid,Brown,Figurative,Human,Human,"Partially obscured human, not genitalia visible. Arm of larger human superimposed across this motif",,,,,Yes,
CH02,3,109,CH02-3-109,Pictograph,Infilled or solid,Brown,Figurative,Human,Human,Human simple figure with no distinctive features. Bird track CH02-3-110 engraved over this figure,,,,,Yes,
CH02,3,110,CH02-3-110,Petroglyph,Engraved,Not applicable,Track,Tracks,Bird track,Single upward-facing bird track superimposed over large human (109),,,,4,Yes,
CH02,3,111,CH02-3-111,Pictograph,Infilled or solid,Brown,Figurative,Human,Human,Simple human figure with no distinctive features,,,,,No,
CH02,3,112,CH02-3-112,Pictograph,Infilled or solid,Brown,Figurative,Human,Man,Simple human figure with genitalia shown and wide head with lateral downward facing protrusions. Appears similar to Quinkan heads. Line series 114 has removed some of the pigment,,,,,Yes,
CH02,3,113,CH02-3-113,Pictograph,Infilled or solid,Brown,Figurative,Human,Human,Simple human figure with no distinctive features. Line series 114 has removed some of the pigment,,,,,Yes,
CH02,3,114,CH02-3-114,Petroglyph,Engraved,Not applicable,Non-Figurative,Geometric,Line Series,Minimum of 15 parallel (vertical) lines which are superimposed over pictographs in this locality,,,,3,Yes,
CH02,3,115,CH02-3-115,Petroglyph,Engraved,Not applicable,Figurative,Contact,Lettering,"Three letters - ""R K A""",,,,5,Yes,
CH02,3,116,CH02-3-116,Petroglyph,Engraved,Not applicable,Track,Tracks,Bird track,"Single upward facing engraved track,",,,,2,Yes,
CH02,3,117,CH02-3-117,Pictograph,Infilled or solid,Brown,Figurative,Human,Human,Simple human figure with no distinctive features,,,,,Yes,
CH02,3,118,CH02-3-118,Petroglyph,Engraved,Not applicable,Non-Figurative,Geometric,Complex lines,Horizontal line with vertical lines coming off it in a downwards direction. Appears to be a more complex version of CH02-2-99 and CH02-2-100.,,,,4,No,
CH02,3,119,CH02-3-119,Pictograph,Infilled or solid,Brown,Figurative,Human,Human,Simple human figure with no distinctive features. HEad absent or not entirely clear,,,,,No,
CH02,3,120,CH02-3-120,Petroglyph,Engraved,Not applicable,Non-Figurative,Geometric,Line,Two parallel lines (vertical),,,,3,No,
CH02,3,121,CH02-3-121,Petroglyph,Engraved,Not applicable,Non-Figurative,Geometric,Single circle,"vaguely circular shape, badly eroded. Likely associated with two pairs of lines either side CH02-3-120 and CH02-3-122",,,,3,No,
CH02,3,122,CH02-3-122,Petroglyph,Engraved,Not applicable,Non-Figurative,Geometric,Line,Two parallel lines (vertical),,,,3,Yes,
CH02,3,123,CH02-3-123,Pictograph,Infilled or solid,Brown,Figurative,Human,Human,Human simple form with no distinctive features. Appears inside the shell of CH02-3-124,,,,,Yes,
CH02,3,124,CH02-3-124,Pictograph,Outline,Brown,Figurative,Animal,Marine Turtle,"Elaborate marine turtle, extended appendages with tail and four 'flippers'. motif 124 superimposed over it (or vice-versa). Head partially absent.",,,,,Yes,
CH02,3,125,CH02-3-125,Pictograph,Infilled or solid,Brown,Figurative,Human,Human,badly eroded simple human figure,,,,,Yes,
CH02,3,126,CH02-3-126,Petroglyph,Pecked,Not applicable,Non-Figurative,Geometric,Pit cluster,"Group of scattered pits across CH02-3-117, CH02-3-125, and CH02-3-123. Appears to be after these motifs as it removes some pigment",,,,3,Yes,
CH02,3,127,CH02-3-127,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Crescent,Crescent over the head of CH02-3-112. may be associated,,,,,No,
